lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
ṉújt	nyújt	[/V][Prs.NDef.3Pl]	3.490448433130639	2651144	jt	j	t	1	cc	ṉújtanak	nyújtanak	anak	224173	2.417598419353469	nak	ṉújtnak	nyújtnak	46	-1.2702270527763837	4873.326086956522	8.491531957689928	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	ṉújtnak
tartalmaz	tartalmaz	[/V][Prs.NDef.3Pl]	3.526517369422676	2880728	z	z		3	vc	NA	NA	NA	NA	NA	nak	tartalmaznak	tartalmaznak	220344	2.4101163446454392	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	tartalmaznak
mutat	mutat	[/V][Prs.NDef.3Pl]	3.6852656614030863	4151935	t	t		2	vc	NA	NA	NA	NA	NA	nak	mutatnak	mutatnak	214093	2.397617583345253	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	mutatnak
kezd	kezd	[/V][Prs.NDef.2Pl]	3.772113864625659	5071060	zd	z	d	1	cc	NA	NA	NA	NA	NA	tek	kezdtek	kezdtek	212898	2.395186697163344	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	cc training	kezdtek
besél	beszél	[/V][Prs.NDef.3Pl]	3.652752577295786	3852454	l	l		2	vc	NA	NA	NA	NA	NA	nek	besélnek	beszélnek	200436	2.368990842703374	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	besélnek
kereš	keres	[/V][Prs.NDef.3Pl]	3.6029811755605863	3435311	š	š		2	vc	NA	NA	NA	NA	NA	nek	kerešnek	keresnek	196160	2.359625568380363	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	kerešnek
jut	jut	[/V][Prs.NDef.3Pl]	3.624065888024668	3606208	t	t		1	vc	NA	NA	NA	NA	NA	nak	jutnak	jutnak	195893	2.359034032824736	NA	NA	FALSE	Prs.NDef.3Pl (mondanak)	4938	vc training	jutnak
él	él	[/V][Prs.NDef.2Pl]	3.776620337778657	5123954	l	l		1	vc	NA	NA	NA	NA	NA	tek	éltek	éltek	195664	2.358526043195155	NA	NA	FALSE	Prs.NDef.2Pl (mondotok)	3308	vc training	éltek
sámít	számít	[/V][Prs.NDef.3Pl]	3.4385556394811343	2352559	t	t		2	vc	sámítanak	számítanak	anak	189909	2.3455606624682015	nak	sámítnak	számítnak	153	-0.748293453640359	1241.235294117647	7.12386236764984	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA
talál	talál	[/V][Prs.NDef.2Sg]	3.7543565851614393	4867898	l	l		2	vc	NA	NA	NA	NA	NA	s	találs	találsz	186726	2.3382199094973317	NA	NA	FALSE	Prs.NDef.2Sg (mondas)	4096	vc training	találs
