lemma	krr_pred	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form	alpha	sigma
alakít	0.8068313382172264	alakít	[/V][Prs.1Sg›2]	3.073036794898776	1013962	t	t	NA	3	vc	alakítalak	alakítalak	alak	68	-1.1004759717517214	lak	alakítlak	alakítlak	9	-1.978742375018633	7.555555555555555	2.0222831278398874	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
alapít	0.8079012323023985	alapít	[/V][Prs.NDef.3Pl]	2.6209976060676277	358082	t	t	NA	3	vc	alapítanak	alapítanak	anak	7833	0.960943242084649	nak	alapítnak	alapítnak	12	-1.853803638410333	652.75	6.481194207579239	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
alapít	0.8079012323023985	alapít	[/V][Prs.NDef.2Sg]	2.6209976060676277	358082	t	t	NA	3	vc	alapítas	alapítasz	as	482	-0.2499378462191083	s	alapíts	alapítsz	3	-2.455863629738295	160.66666666666666	5.07933182538249	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
alapít	0.8079012323023985	alapít	[/V][Prs.NDef.2Pl]	2.6209976060676277	358082	t	t	NA	3	vc	alapítotok	alapítotok	otok	91	-0.9739434921368644	tok	alapíttok	alapíttok	1	-2.932984884457958	91	4.51085950651685	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
alapít	0.8079012323023985	alapít	[/V][Prs.1Sg›2]	2.6209976060676277	358082	t	t	NA	3	vc	alapítalak	alapítalak	alak	15	-1.756893625402277	lak	alapítlak	alapítlak	3	-2.455863629738295	5	1.6094379124341005	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
amij	0.7707165953289773	amily	[/V][Prs.NDef.3Pl]	0.9281311597034376	7263	j	j	NA	2	vc	amijenek	amilyenek	enek	1	-2.932984884457958	nek	amijnek	amilynek	4	-2.3309248931299953	0.25	-1.3862943611198906	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
andalít	0.8075576329011038	andalít	[/V][Prs.NDef.2Sg]	-0.15993019109369525	593	t	t	NA	3	vc	andalítas	andalítasz	as	10	-1.9329848844579576	s	andalíts	andalítsz	1	-2.932984884457958	10	2.302585092994046	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
apast	0.8093224877688727	apaszt	[/V][Prs.NDef.3Pl]	0.5697152908526049	3182	st	s	t	2	cc	apastanak	apasztanak	anak	12	-1.853803638410333	nak	apastnak	apasztnak	1	-2.932984884457958	12	2.4849066497880004	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	apastnak	10	10
aprít	0.8065106371805923	aprít	[/V][Prs.NDef.2Sg]	1.6980731247226395	42762	t	t	NA	2	vc	aprítas	aprítasz	as	53	-1.2087090148571689	s	apríts	aprítsz	4	-2.3309248931299953	13.25	2.583997552432231	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
aprít	0.8065106371805923	aprít	[/V][Prs.1Sg›2]	1.6980731247226395	42762	t	t	NA	2	vc	aprítalak	aprítalak	alak	28	-1.4858268531157386	lak	aprítlak	aprítlak	5	-2.234014880121939	5.6	1.7227665977411035	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
aprít	0.8065106371805923	aprít	[/V][Prs.NDef.2Pl]	1.6980731247226395	42762	t	t	NA	2	vc	aprítotok	aprítotok	otok	6	-2.1548336340743144	tok	apríttok	apríttok	1	-2.932984884457958	6	1.791759469228055	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
azonošít	0.7797890909092653	azonosít	[/V][Prs.NDef.3Pl]	2.485654428238125	262204	t	t	NA	4	vc	azonošítanak	azonosítanak	anak	3581	0.6210194365539451	nak	azonošítnak	azonosítnak	3	-2.455863629738295	1193.6666666666667	7.084785081330323	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
azonošít	0.7797890909092653	azonosít	[/V][Prs.NDef.2Pl]	2.485654428238125	262204	t	t	NA	4	vc	azonošítotok	azonosítotok	otok	23	-1.571257048440365	tok	azonošíttok	azonosíttok	1	-2.932984884457958	23	3.1354942159291497	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
azonošít	0.7797890909092653	azonosít	[/V][Prs.1Sg›2]	2.485654428238125	262204	t	t	NA	4	vc	azonošítalak	azonosítalak	alak	17	-1.702535963079684	lak	azonošítlak	azonosítlak	2	-2.6319548887939765	8.5	2.1400661634962708	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
beleért	0.8259979415187516	beleért	[/V][Prs.NDef.2Sg]	2.687566519794711	417399	rt	r	t	3	cc	beleértes	beleértesz	es	6	-2.1548336340743144	s	beleérts	beleértsz	1	-2.932984884457958	6	1.791759469228055	TRUE	Prs.NDef.2Sg (mondas)	4096	test	beleérts	10	10
benn	0.8080785353972026	benn	[/V][Prs.NDef.2Pl]	1.993259783446265	84381	nn	n	n	1	cc	bennetek	bennetek	etek	1	-2.932984884457958	tek	benntek	benntek	1	-2.932984884457958	1	0	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	benntek	10	10
billent	0.8496316167613126	billent	[/V][Prs.1Sg›2]	1.2721111631205262	16036	nt	n	t	2	cc	billentelek	billentelek	elek	9	-1.978742375018633	lek	billentlek	billentlek	1	-2.932984884457958	9	2.1972245773362196	TRUE	Prs.1Sg›2 (mondalak)	1749	test	billentlek	10	10
bizoṉít	0.8272914542573385	bizonyít	[/V][Prs.NDef.3Pl]	2.9793535707849195	817219	t	t	NA	3	vc	bizoṉítanak	bizonyítanak	anak	5347	0.7951252996423828	nak	bizoṉítnak	bizonyítnak	20	-1.6319548887939763	267.35	5.588558661394741	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
bizoṉít	0.8272914542573385	bizonyít	[/V][Prs.NDef.2Sg]	2.9793535707849195	817219	t	t	NA	3	vc	bizoṉítas	bizonyítasz	as	233	-0.5656289634319388	s	bizoṉíts	bizonyítsz	8	-2.0298948974660145	29.125	3.371596911885865	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
bizoṉít	0.8272914542573385	bizonyít	[/V][Prs.NDef.2Pl]	2.9793535707849195	817219	t	t	NA	3	vc	bizoṉítotok	bizonyítotok	otok	12	-1.853803638410333	tok	bizoṉíttok	bizonyíttok	1	-2.932984884457958	12	2.4849066497880004	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
biztošít	0.8134503275560269	biztosít	[/V][Prs.NDef.3Pl]	3.6171036154920224	3548857	t	t	NA	3	vc	biztošítanak	biztosítanak	anak	181745	2.3264775873301793	nak	biztošítnak	biztosítnak	184	-0.6681670614484213	987.7445652173913	6.895424127091996	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
biztošít	0.8134503275560269	biztosít	[/V][Prs.NDef.2Sg]	3.6171036154920224	3548857	t	t	NA	3	vc	biztošítas	biztosítasz	as	1009	0.07090628177895267	s	biztošíts	biztosítsz	6	-2.1548336340743144	168.16666666666666	5.124955551125554	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
biztošít	0.8134503275560269	biztosít	[/V][Prs.1Sg›2]	3.6171036154920224	3548857	t	t	NA	3	vc	biztošítalak	biztosítalak	alak	806	-0.02664984265286718	lak	biztošítlak	biztosítlak	242	-0.5491695184775266	3.330578512396694	1.203146016349942	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
biztošít	0.8134503275560269	biztosít	[/V][Prs.NDef.2Pl]	3.6171036154920224	3548857	t	t	NA	3	vc	biztošítotok	biztosítotok	otok	148	-0.7627231690630004	tok	biztošíttok	biztosíttok	3	-2.455863629738295	49.333333333333336	3.8985999850960056	TRUE	Prs.NDef.2Pl (mondotok)	3308	NA	NA	10	10
bojong	0.8117710181856785	bolyong	[/V][Prs.NDef.3Pl]	1.5543797744589725	30716	ng	n	g	2	cc	bojonganak	bolyonganak	anak	2855	0.522621228123909	nak	bojongnak	bolyongnak	273	-0.49682223741720183	10.457875457875458	2.347355326905151	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	bojongnak	10	10
bojong	0.8117710181856785	bolyong	[/V][Prs.NDef.2Sg]	1.5543797744589725	30716	ng	n	g	2	cc	bojongas	bolyongasz	as	58	-1.169556890895021	s	bojongs	bolyongsz	376	-0.3577970395302968	0.15425531914893617	-1.869146132843475	TRUE	Prs.NDef.2Sg (mondas)	4096	test	bojongs	10	10
bojong	0.8117710181856785	bolyong	[/V][Prs.NDef.2Pl]	1.5543797744589725	30716	ng	n	g	2	cc	bojongotok	bolyongotok	otok	1	-2.932984884457958	tok	bojongtok	bolyongtok	68	-1.1004759717517214	0.01470588235294117	-4.219507705176107	TRUE	Prs.NDef.2Pl (mondotok)	3308	test	bojongtok	10	10
boldogít	0.8111270856507914	boldogít	[/V][Prs.NDef.3Pl]	1.1876877388246496	13203	t	t	NA	3	vc	boldogítanak	boldogítanak	anak	309	-0.4430264050331232	nak	boldogítnak	boldogítnak	3	-2.455863629738295	103	4.634728988229636	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
boldogít	0.8111270856507914	boldogít	[/V][Prs.1Sg›2]	1.1876877388246496	13203	t	t	NA	3	vc	boldogítalak	boldogítalak	alak	49	-1.2427888044294442	lak	boldogítlak	boldogítlak	2	-2.6319548887939765	24.5	3.1986731175506815	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
boldogít	0.8111270856507914	boldogít	[/V][Prs.NDef.2Sg]	1.1876877388246496	13203	t	t	NA	3	vc	boldogítas	boldogítasz	as	25	-1.5350448757859203	s	boldogíts	boldogítsz	4	-2.3309248931299953	6.25	1.8325814637483104	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
bolondít	0.8170508450957719	bolondít	[/V][Prs.NDef.2Sg]	1.0574871690676615	9783	t	t	NA	3	vc	bolondítas	bolondítasz	as	52	-1.2169815408231586	s	bolondíts	bolondítsz	1	-2.932984884457958	52	3.951243718581427	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
bolondít	0.8170508450957719	bolondít	[/V][Prs.1Sg›2]	1.0574871690676615	9783	t	t	NA	3	vc	bolondítalak	bolondítalak	alak	1	-2.932984884457958	lak	bolondítlak	bolondítlak	2	-2.6319548887939765	0.5	-0.6931471805599453	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
