lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
félreért	félreért	[/V][Prs.1Sg›2]	1.6781859130022172	40848	rt	r	t	3	cc	félreértelek	félreértelek	elek	67	-1.1069100817571311	lek	félreértlek	félreértlek	4	-2.3309248931299953	16.75	2.8183982582710754	TRUE	Prs.1Sg›2 (mondalak)	1583	test	félreértlek
borong	borong	[/V][Prs.NDef.3Pl]	0.4584795273811454	2463	ng	n	g	2	cc	boronganak	boronganak	anak	65	-1.1200715278151023	nak	borongnak	borongnak	36	-1.3766823836906703	1.8055555555555556	0.5908683314395271	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	borongnak
čöng	csöng	[/V][Prs.NDef.3Pl]	0.7762002450922876	5119	ng	n	g	1	cc	čöngenek	csöngenek	enek	59	-1.1621328728158136	nek	čöngnek	csöngnek	7	-2.087886844443701	8.428571428571429	2.1316272948504063	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	čöngnek
lejt	lejt	[/V][Prs.NDef.2Sg]	1.1958342577365526	13453	jt	j	t	1	cc	lejtes	lejtesz	es	59	-1.1621328728158136	s	lejts	lejtsz	24	-1.552773642746352	2.4583333333333335	0.8994836135577738	TRUE	Prs.NDef.2Sg (mondas)	3816	test	lejts
ődöng	ődöng	[/V][Prs.NDef.3Pl]	0.09150078324120914	1058	ng	n	g	2	cc	ődöngenek	ődöngenek	enek	54	-1.2005911246349894	nek	ődöngnek	ődöngnek	7	-2.087886844443701	7.714285714285714	2.043073897508961	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	ődöngnek
hőzöng	hőzöng	[/V][Prs.NDef.2Sg]	0.5271609330337924	2885	ng	n	g	2	cc	hőzönges	hőzöngesz	es	6	-2.1548336340743144	s	hőzöngs	hőzöngsz	52	-1.2169815408231586	0.1153846153846154	-2.159484249353372	TRUE	Prs.NDef.2Sg (mondas)	3816	test	hőzöngs
zeng	zeng	[/V][Prs.NDef.2Sg]	1.7743979085034178	50978	ng	n	g	1	cc	zenges	zengesz	es	39	-1.3419202774314587	s	zengs	zengsz	52	-1.2169815408231586	0.75	-0.2876820724517809	TRUE	Prs.NDef.2Sg (mondas)	3816	test	zengs
ešeng	eseng	[/V][Prs.NDef.3Pl]	0.2304746673120323	1457	ng	n	g	2	cc	ešengenek	esengenek	enek	51	-1.2254147083600215	nek	ešengnek	esengnek	22	-1.5905622036357516	2.3181818181818183	0.84078317936601	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	ešengnek
ejt	ejt	[/V][Prs.1Sg›2]	2.54627650321544	301482	jt	j	t	1	cc	ejtelek	ejtelek	elek	50	-1.234014880121939	lek	ejtlek	ejtlek	2	-2.6319548887939765	25	3.218875824868201	TRUE	Prs.1Sg›2 (mondalak)	1583	test	ejtlek
hord	hord	[/V][Prs.1Sg›2]	2.5559590570874056	308279	rd	r	d	1	cc	hordalak	hordalak	alak	50	-1.234014880121939	lak	hordlak	hordlak	13	-1.819041532151121	3.8461538461538463	1.3470736479666094	TRUE	Prs.1Sg›2 (mondalak)	1583	test	hordlak
ont	ont	[/V][Prs.NDef.2Sg]	1.7436264299947593	47491	nt	n	t	1	cc	ontas	ontasz	as	48	-1.2517436470823706	s	onts	ontsz	25	-1.5350448757859203	1.92	0.6523251860396901	TRUE	Prs.NDef.2Sg (mondas)	3816	test	onts
šikolt	sikolt	[/V][Prs.NDef.2Sg]	1.0121388856641615	8813	lt	l	t	2	cc	šikoltas	sikoltasz	as	48	-1.2517436470823706	s	šikolts	sikoltsz	4	-2.3309248931299953	12	2.4849066497880004	TRUE	Prs.NDef.2Sg (mondas)	3816	test	šikolts
