lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
áld	áld	[/V][Prs.NDef.2Pl]	1.9847463785340496	82743	ld	l	d	1	cc	áldotok	áldotok	otok	16	-1.728864901802033	tok	áldtok	áldtok	2	-2.6319548887939765	8	2.0794415416798357	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	áldtok
állong	állong	[/V][Prs.NDef.3Pl]	-0.623354717032059	204	ng	n	g	2	cc	állonganak	állonganak	anak	15	-1.756893625402277	nak	állongnak	állongnak	7	-2.087886844443701	2.142857142857143	0.7621400520468967	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	állongnak
ellentmond	ellentmond	[/V][Prs.NDef.2Pl]	1.8501894968434336	60698	nd	n	d	3	cc	ellentmondotok	ellentmondotok	otok	2	-2.6319548887939765	tok	ellentmondtok	ellentmondtok	14	-1.7868568487797198	0.14285714285714285	-1.9459101490553137	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	ellentmondtok
füröst	füröszt	[/V][Prs.1Sg›2]	0.5572546007883294	3092	st	s	t	2	cc	füröstelek	fürösztelek	elek	14	-1.7868568487797198	lek	füröstlek	fürösztlek	3	-2.455863629738295	4.666666666666667	1.540445040947149	TRUE	Prs.1Sg›2 (mondalak)	1583	test	füröstlek
támast	támaszt	[/V][Prs.1Sg›2]	2.412676973025972	221647	st	s	t	2	cc	támastalak	támasztalak	alak	13	-1.819041532151121	lak	támastlak	támasztlak	1	-2.932984884457958	13	2.5649493574615367	TRUE	Prs.1Sg›2 (mondalak)	1583	test	támastlak
hint	hint	[/V][Prs.1Sg›2]	1.5869611793795713	33109	nt	n	t	1	cc	hintelek	hintelek	elek	11	-1.8915921992997329	lek	hintlek	hintlek	1	-2.932984884457958	11	2.3978952727983707	TRUE	Prs.1Sg›2 (mondalak)	1583	test	hintlek
sánt	szánt	[/V][Prs.1Sg›2]	2.6324130648880937	367619	nt	n	t	1	cc	sántalak	szántalak	alak	11	-1.8915921992997329	lak	sántlak	szántlak	3	-2.455863629738295	3.6666666666666665	1.2992829841302609	TRUE	Prs.1Sg›2 (mondalak)	1583	test	sántlak
önt	önt	[/V][Prs.1Sg›2]	2.628092636201345	363980	nt	n	t	1	cc	öntelek	öntelek	elek	11	-1.8915921992997329	lek	öntlek	öntlek	9	-1.978742375018633	1.2222222222222223	0.20067069546215124	TRUE	Prs.1Sg›2 (mondalak)	1583	test	öntlek
búšong	búsong	[/V][Prs.NDef.2Sg]	0.03736199177213555	934	ng	n	g	2	cc	búšongas	búsongasz	as	2	-2.6319548887939765	s	búšongs	búsongsz	10	-1.9329848844579576	0.2	-1.6094379124341005	TRUE	Prs.NDef.2Sg (mondas)	3816	test	búšongs
kereng	kereng	[/V][Prs.NDef.2Sg]	0.4808176323113937	2593	ng	n	g	2	cc	kerenges	kerengesz	es	2	-2.6319548887939765	s	kerengs	kerengsz	10	-1.9329848844579576	0.2	-1.6094379124341005	TRUE	Prs.NDef.2Sg (mondas)	3816	test	kerengs
kérd	kérd	[/V][Prs.NDef.2Pl]	1.9986204382455903	85429	rd	r	d	1	cc	kérdetek	kérdetek	etek	6	-2.1548336340743144	tek	kérdtek	kérdtek	10	-1.9329848844579576	0.6	-0.5108256237659907	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	kérdtek
