segment1	segment2	dist
a	a	0
a	á	0.5833333333333333
a	b	0.9696969696969697
a	c	0.9736842105263158
a	č	0.972972972972973
a	d	0.9767441860465116
a	ḏ	0.9761904761904762
a	e	0.6296296296296297
a	é	0.8064516129032258
a	f	0.9333333333333333
a	g	0.9259259259259259
a	h	0.9047619047619048
a	i	0.8181818181818181
a	í	0.8857142857142857
a	j	0.9333333333333333
a	k	0.92
a	l	0.935483870967742
a	m	0.9655172413793104
a	n	0.9722222222222222
a	ṉ	0.9722222222222222
a	o	0.6206896551724138
a	ó	0.7878787878787878
a	ö	0.8378378378378378
a	ő	0.8974358974358975
a	p	0.9666666666666667
a	r	0.935483870967742
a	s	0.9459459459459459
a	š	0.9459459459459459
a	t	0.9736842105263158
a	ṯ	0.9722222222222222
a	u	0.7741935483870968
a	ú	0.8484848484848485
a	ü	0.8974358974358975
a	ű	0.925
a	v	0.9259259259259259
a	z	0.95
a	ž	0.95
á	a	0.5833333333333333
á	á	0
á	b	0.9696969696969697
á	c	0.9736842105263158
á	č	0.972972972972973
á	d	0.9767441860465116
á	ḏ	0.9761904761904762
á	e	0.8064516129032258
á	é	0.6296296296296297
á	f	0.9333333333333333
á	g	0.9259259259259259
á	h	0.9047619047619048
á	i	0.8857142857142857
á	í	0.8181818181818181
á	j	0.9333333333333333
á	k	0.92
á	l	0.935483870967742
á	m	0.9655172413793104
á	n	0.9722222222222222
á	ṉ	0.9722222222222222
á	o	0.7878787878787878
á	ó	0.6206896551724138
á	ö	0.8974358974358975
á	ő	0.8378378378378378
á	p	0.9666666666666667
á	r	0.935483870967742
á	s	0.9459459459459459
á	š	0.9459459459459459
á	t	0.9736842105263158
á	ṯ	0.9722222222222222
á	u	0.8484848484848485
á	ú	0.7741935483870968
á	ü	0.925
á	ű	0.8974358974358975
á	v	0.9259259259259259
á	z	0.95
á	ž	0.95
b	a	0.9696969696969697
b	á	0.9696969696969697
b	b	0
b	c	0.8529411764705882
b	č	0.8484848484848485
b	d	0.7428571428571429
b	ḏ	0.7352941176470589
b	e	0.9722222222222222
b	é	0.9722222222222222
b	f	0.7692307692307692
b	g	0.55
b	h	0.85
b	i	0.9736842105263158
b	í	0.9736842105263158
b	j	0.9333333333333333
b	k	0.7727272727272727
b	l	0.935483870967742
b	m	0.5
b	n	0.84375
b	ṉ	0.84375
b	o	0.9473684210526316
b	ó	0.9473684210526316
b	ö	0.9512195121951219
b	ő	0.9512195121951219
b	p	0.5238095238095238
b	r	0.935483870967742
b	s	0.9166666666666666
b	š	0.9166666666666666
b	t	0.8529411764705882
b	ṯ	0.84375
b	u	0.9444444444444444
b	ú	0.9444444444444444
b	ü	0.9512195121951219
b	ű	0.9512195121951219
b	v	0.7391304347826086
b	z	0.8648648648648649
b	ž	0.8648648648648649
c	a	0.9736842105263158
c	á	0.9736842105263158
c	b	0.8529411764705882
c	c	0
c	č	0.4642857142857143
c	d	0.6
c	ḏ	0.736842105263158
c	e	0.95
c	é	0.95
c	f	0.8787878787878788
c	g	0.8275862068965517
c	h	0.88
c	i	0.9523809523809523
c	í	0.9523809523809523
c	j	0.8787878787878788
c	k	0.72
c	l	0.8484848484848485
c	m	0.90625
c	n	0.7647058823529411
c	ṉ	0.8333333333333334
c	o	0.9772727272727273
c	ó	0.9772727272727273
c	ö	0.9565217391304348
c	ő	0.9565217391304348
c	p	0.7586206896551724
c	r	0.8484848484848485
c	s	0.6666666666666667
c	š	0.7777777777777778
c	t	0.16666666666666663
c	ṯ	0.09090909090909094
c	u	0.9761904761904762
c	ú	0.9761904761904762
c	ü	0.9565217391304348
c	ű	0.9565217391304348
c	v	0.9375
c	z	0.7948717948717949
c	ž	0.8536585365853658
č	a	0.972972972972973
č	á	0.972972972972973
č	b	0.8484848484848485
č	c	0.4642857142857143
č	č	0
č	d	0.736842105263158
č	ḏ	0.5757575757575757
č	e	0.9487179487179487
č	é	0.9487179487179487
č	f	0.875
č	g	0.8214285714285714
č	h	0.875
č	i	0.9512195121951219
č	í	0.9512195121951219
č	j	0.8387096774193549
č	k	0.7083333333333333
č	l	0.8787878787878788
č	m	0.9032258064516129
č	n	0.8285714285714285
č	ṉ	0.7575757575757576
č	o	0.9767441860465116
č	ó	0.9767441860465116
č	ö	0.9555555555555556
č	ő	0.9555555555555556
č	p	0.75
č	r	0.8787878787878788
č	s	0.7714285714285715
č	š	0.65625
č	t	0.5172413793103448
č	ṯ	0.4814814814814815
č	u	0.975609756097561
č	ú	0.975609756097561
č	ü	0.9555555555555556
č	ű	0.9555555555555556
č	v	0.935483870967742
č	z	0.85
č	ž	0.7894736842105263
d	a	0.9767441860465116
d	á	0.9767441860465116
d	b	0.7428571428571429
d	c	0.6
d	č	0.736842105263158
d	d	0
d	ḏ	0.48571428571428577
d	e	0.9555555555555556
d	é	0.9555555555555556
d	f	0.9230769230769231
d	g	0.7
d	h	0.9
d	i	0.9574468085106383
d	í	0.9574468085106383
d	j	0.8947368421052632
d	k	0.84375
d	l	0.868421052631579
d	m	0.8571428571428572
d	n	0.5757575757575757
d	ṉ	0.7297297297297297
d	o	0.9795918367346939
d	ó	0.9795918367346939
d	ö	0.9607843137254902
d	ő	0.9607843137254902
d	p	0.8611111111111112
d	r	0.868421052631579
d	s	0.8048780487804879
d	š	0.8604651162790697
d	t	0.5588235294117647
d	ṯ	0.5757575757575757
d	u	0.9787234042553191
d	ú	0.9787234042553191
d	ü	0.9607843137254902
d	ű	0.9607843137254902
d	v	0.9166666666666666
d	z	0.631578947368421
d	ž	0.7619047619047619
ḏ	a	0.9761904761904762
ḏ	á	0.9761904761904762
ḏ	b	0.7352941176470589
ḏ	c	0.736842105263158
ḏ	č	0.5757575757575757
ḏ	d	0.48571428571428577
ḏ	ḏ	0
ḏ	e	0.9545454545454546
ḏ	é	0.9545454545454546
ḏ	f	0.9210526315789473
ḏ	g	0.6896551724137931
ḏ	h	0.896551724137931
ḏ	i	0.9565217391304348
ḏ	í	0.9565217391304348
ḏ	j	0.8611111111111112
ḏ	k	0.8387096774193549
ḏ	l	0.8947368421052632
ḏ	m	0.8529411764705882
ḏ	n	0.7222222222222222
ḏ	ṉ	0.5625
ḏ	o	0.9791666666666666
ḏ	ó	0.9791666666666666
ḏ	ö	0.96
ḏ	ő	0.96
ḏ	p	0.8571428571428572
ḏ	r	0.8947368421052632
ḏ	s	0.8571428571428572
ḏ	š	0.8
ḏ	t	0.736842105263158
ḏ	ṯ	0.7222222222222222
ḏ	u	0.9782608695652174
ḏ	ú	0.9782608695652174
ḏ	ü	0.96
ḏ	ű	0.96
ḏ	v	0.9142857142857143
ḏ	z	0.7560975609756098
ḏ	ž	0.6216216216216216
e	a	0.6296296296296297
e	á	0.8064516129032258
e	b	0.9722222222222222
e	c	0.95
e	č	0.9487179487179487
e	d	0.9555555555555556
e	ḏ	0.9545454545454546
e	e	0
e	é	0.5714285714285714
e	f	0.9393939393939394
e	g	0.967741935483871
e	h	0.9166666666666666
e	i	0.6
e	í	0.7647058823529411
e	j	0.8709677419354839
e	k	0.9655172413793104
e	l	0.875
e	m	0.96875
e	n	0.9473684210526316
e	ṉ	0.9473684210526316
e	o	0.8378378378378378
e	ó	0.8974358974358975
e	ö	0.6470588235294117
e	ő	0.7894736842105263
e	p	0.9696969696969697
e	r	0.875
e	s	0.8947368421052632
e	š	0.8947368421052632
e	t	0.95
e	ṯ	0.9473684210526316
e	u	0.8918918918918919
e	ú	0.9210526315789473
e	ü	0.7894736842105263
e	ű	0.85
e	v	0.9333333333333333
e	z	0.9024390243902439
e	ž	0.9024390243902439
é	a	0.8064516129032258
é	á	0.6296296296296297
é	b	0.9722222222222222
é	c	0.95
é	č	0.9487179487179487
é	d	0.9555555555555556
é	ḏ	0.9545454545454546
é	e	0.5714285714285714
é	é	0
é	f	0.9393939393939394
é	g	0.967741935483871
é	h	0.9166666666666666
é	i	0.7647058823529411
é	í	0.6
é	j	0.8709677419354839
é	k	0.9655172413793104
é	l	0.875
é	m	0.96875
é	n	0.9473684210526316
é	ṉ	0.9473684210526316
é	o	0.8974358974358975
é	ó	0.8378378378378378
é	ö	0.7894736842105263
é	ő	0.6470588235294117
é	p	0.9696969696969697
é	r	0.875
é	s	0.8947368421052632
é	š	0.8947368421052632
é	t	0.95
é	ṯ	0.9473684210526316
é	u	0.9210526315789473
é	ú	0.8918918918918919
é	ü	0.85
é	ű	0.7894736842105263
é	v	0.9333333333333333
é	z	0.9024390243902439
é	ž	0.9024390243902439
f	a	0.9333333333333333
f	á	0.9333333333333333
f	b	0.7692307692307692
f	c	0.8787878787878788
f	č	0.875
f	d	0.9230769230769231
f	ḏ	0.9210526315789473
f	e	0.9393939393939394
f	é	0.9393939393939394
f	f	0
f	g	0.875
f	h	0.6
f	i	0.9428571428571428
f	í	0.9428571428571428
f	j	0.8461538461538461
f	k	0.8095238095238095
f	l	0.8518518518518519
f	m	0.8333333333333334
f	n	0.9393939393939394
f	ṉ	0.9393939393939394
f	o	0.8823529411764706
f	ó	0.8823529411764706
f	ö	0.8918918918918919
f	ő	0.8918918918918919
f	p	0.6190476190476191
f	r	0.8518518518518519
f	s	0.7241379310344828
f	š	0.7241379310344828
f	t	0.8787878787878788
f	ṯ	0.8709677419354839
f	u	0.875
f	ú	0.875
f	ü	0.8918918918918919
f	ű	0.8918918918918919
f	v	0.5789473684210527
f	z	0.8235294117647058
f	ž	0.8235294117647058
g	a	0.9259259259259259
g	á	0.9259259259259259
g	b	0.55
g	c	0.8275862068965517
g	č	0.8214285714285714
g	d	0.7
g	ḏ	0.6896551724137931
g	e	0.967741935483871
g	é	0.967741935483871
g	f	0.875
g	g	0
g	h	0.8
g	i	0.9696969696969697
g	í	0.9696969696969697
g	j	0.92
g	k	0.5333333333333333
g	l	0.9230769230769231
g	m	0.75
g	n	0.8148148148148149
g	ṉ	0.8148148148148149
g	o	0.9393939393939394
g	ó	0.9393939393939394
g	ö	0.972972972972973
g	ő	0.972972972972973
g	p	0.7619047619047619
g	r	0.9230769230769231
g	s	0.9032258064516129
g	š	0.9032258064516129
g	t	0.8275862068965517
g	ṯ	0.8148148148148149
g	u	0.935483870967742
g	ú	0.935483870967742
g	ü	0.972972972972973
g	ű	0.972972972972973
g	v	0.8571428571428572
g	z	0.84375
g	ž	0.84375
h	a	0.9047619047619048
h	á	0.9047619047619048
h	b	0.85
h	c	0.88
h	č	0.875
h	d	0.9
h	ḏ	0.896551724137931
h	e	0.9166666666666666
h	é	0.9166666666666666
h	f	0.6
h	g	0.8
h	h	0
h	i	0.9230769230769231
h	í	0.9230769230769231
h	j	0.7647058823529411
h	k	0.7692307692307692
h	l	0.7777777777777778
h	m	0.8823529411764706
h	n	0.9166666666666666
h	ṉ	0.9166666666666666
h	o	0.9259259259259259
h	ó	0.9259259259259259
h	ö	0.9333333333333333
h	ő	0.9333333333333333
h	p	0.8235294117647058
h	r	0.7777777777777778
h	s	0.7272727272727273
h	š	0.7272727272727273
h	t	0.88
h	ṯ	0.8695652173913043
h	u	0.92
h	ú	0.92
h	ü	0.9333333333333333
h	ű	0.9333333333333333
h	v	0.7142857142857143
h	z	0.76
h	ž	0.76
i	a	0.8181818181818181
i	á	0.8857142857142857
i	b	0.9736842105263158
i	c	0.9523809523809523
i	č	0.9512195121951219
i	d	0.9574468085106383
i	ḏ	0.9565217391304348
i	e	0.6
i	é	0.7647058823529411
i	f	0.9428571428571428
i	g	0.9696969696969697
i	h	0.9230769230769231
i	i	0
i	í	0.5806451612903225
i	j	0.8787878787878788
i	k	0.967741935483871
i	l	0.8823529411764706
i	m	0.9705882352941176
i	n	0.95
i	ṉ	0.95
i	o	0.8461538461538461
i	ó	0.9024390243902439
i	ö	0.6666666666666667
i	ő	0.8
i	p	0.9714285714285714
i	r	0.8823529411764706
i	s	0.9
i	š	0.9
i	t	0.9523809523809523
i	ṯ	0.95
i	u	0.7714285714285715
i	ú	0.868421052631579
i	ü	0.5
i	ű	0.736842105263158
i	v	0.9375
i	z	0.9069767441860466
i	ž	0.9069767441860466
í	a	0.8857142857142857
í	á	0.8181818181818181
í	b	0.9736842105263158
í	c	0.9523809523809523
í	č	0.9512195121951219
í	d	0.9574468085106383
í	ḏ	0.9565217391304348
í	e	0.7647058823529411
í	é	0.6
í	f	0.9428571428571428
í	g	0.9696969696969697
í	h	0.9230769230769231
í	i	0.5806451612903225
í	í	0
í	j	0.8787878787878788
í	k	0.967741935483871
í	l	0.8823529411764706
í	m	0.9705882352941176
í	n	0.95
í	ṉ	0.95
í	o	0.9024390243902439
í	ó	0.8461538461538461
í	ö	0.8
í	ő	0.6666666666666667
í	p	0.9714285714285714
í	r	0.8823529411764706
í	s	0.9
í	š	0.9
í	t	0.9523809523809523
í	ṯ	0.95
í	u	0.868421052631579
í	ú	0.7714285714285715
í	ü	0.736842105263158
í	ű	0.5
í	v	0.9375
í	z	0.9069767441860466
í	ž	0.9069767441860466
j	a	0.9333333333333333
j	á	0.9333333333333333
j	b	0.9333333333333333
j	c	0.8787878787878788
j	č	0.8387096774193549
j	d	0.8947368421052632
j	ḏ	0.8611111111111112
j	e	0.8709677419354839
j	é	0.8709677419354839
j	f	0.8461538461538461
j	g	0.92
j	h	0.7647058823529411
j	i	0.8787878787878788
j	í	0.8787878787878788
j	j	0
j	k	0.9130434782608696
j	l	0.44999999999999996
j	m	0.88
j	n	0.7931034482758621
j	ṉ	0.7037037037037037
j	o	0.9444444444444444
j	ó	0.9444444444444444
j	ö	0.8918918918918919
j	ő	0.8918918918918919
j	p	0.9259259259259259
j	r	0.44999999999999996
j	s	0.7241379310344828
j	š	0.6296296296296297
j	t	0.8787878787878788
j	ṯ	0.8709677419354839
j	u	0.9411764705882353
j	ú	0.9411764705882353
j	ü	0.8918918918918919
j	ű	0.8918918918918919
j	v	0.8260869565217391
j	z	0.75
j	ž	0.6666666666666667
k	a	0.92
k	á	0.92
k	b	0.7727272727272727
k	c	0.72
k	č	0.7083333333333333
k	d	0.84375
k	ḏ	0.8387096774193549
k	e	0.9655172413793104
k	é	0.9655172413793104
k	f	0.8095238095238095
k	g	0.5333333333333333
k	h	0.7692307692307692
k	i	0.967741935483871
k	í	0.967741935483871
k	j	0.9130434782608696
k	k	0
k	l	0.9166666666666666
k	m	0.85
k	n	0.8888888888888888
k	ṉ	0.8888888888888888
k	o	0.935483870967742
k	ó	0.935483870967742
k	ö	0.9714285714285714
k	ő	0.9714285714285714
k	p	0.5882352941176471
k	r	0.9166666666666666
k	s	0.8571428571428572
k	š	0.8571428571428572
k	t	0.72
k	ṯ	0.6956521739130435
k	u	0.9310344827586207
k	ú	0.9310344827586207
k	ü	0.9714285714285714
k	ű	0.9714285714285714
k	v	0.9
k	z	0.90625
k	ž	0.90625
l	a	0.935483870967742
l	á	0.935483870967742
l	b	0.935483870967742
l	c	0.8484848484848485
l	č	0.8787878787878788
l	d	0.868421052631579
l	ḏ	0.8947368421052632
l	e	0.875
l	é	0.875
l	f	0.8518518518518519
l	g	0.9230769230769231
l	h	0.7777777777777778
l	i	0.8823529411764706
l	í	0.8823529411764706
l	j	0.44999999999999996
l	k	0.9166666666666666
l	l	0
l	m	0.8846153846153846
l	n	0.7142857142857143
l	ṉ	0.8
l	o	0.9459459459459459
l	ó	0.9459459459459459
l	ö	0.8947368421052632
l	ő	0.8947368421052632
l	p	0.9285714285714286
l	r	0.11764705882352944
l	s	0.6428571428571428
l	š	0.7333333333333334
l	t	0.8484848484848485
l	ṯ	0.8387096774193549
l	u	0.9428571428571428
l	ú	0.9428571428571428
l	ü	0.8947368421052632
l	ű	0.8947368421052632
l	v	0.8333333333333334
l	z	0.6774193548387097
l	ž	0.7575757575757576
m	a	0.9655172413793104
m	á	0.9655172413793104
m	b	0.5
m	c	0.90625
m	č	0.9032258064516129
m	d	0.8571428571428572
m	ḏ	0.8529411764705882
m	e	0.96875
m	é	0.96875
m	f	0.8333333333333334
m	g	0.75
m	h	0.8823529411764706
m	i	0.9705882352941176
m	í	0.9705882352941176
m	j	0.88
m	k	0.85
m	l	0.8846153846153846
m	m	0
m	n	0.7307692307692308
m	ṉ	0.7307692307692308
m	o	0.9411764705882353
m	ó	0.9411764705882353
m	ö	0.9459459459459459
m	ő	0.9459459459459459
m	p	0.7142857142857143
m	r	0.8846153846153846
m	s	0.9393939393939394
m	š	0.9393939393939394
m	t	0.90625
m	ṯ	0.9
m	u	0.9375
m	ú	0.9375
m	ü	0.9459459459459459
m	ű	0.9459459459459459
m	v	0.6842105263157895
m	z	0.9142857142857143
m	ž	0.9142857142857143
n	a	0.9722222222222222
n	á	0.9722222222222222
n	b	0.84375
n	c	0.7647058823529411
n	č	0.8285714285714285
n	d	0.5757575757575757
n	ḏ	0.7222222222222222
n	e	0.9473684210526316
n	é	0.9473684210526316
n	f	0.9393939393939394
n	g	0.8148148148148149
n	h	0.9166666666666666
n	i	0.95
n	í	0.95
n	j	0.7931034482758621
n	k	0.8888888888888888
n	l	0.7142857142857143
n	m	0.7307692307692308
n	n	0
n	ṉ	0.46153846153846156
n	o	0.9761904761904762
n	ó	0.9761904761904762
n	ö	0.9545454545454546
n	ő	0.9545454545454546
n	p	0.9032258064516129
n	r	0.7142857142857143
n	s	0.8648648648648649
n	š	0.8947368421052632
n	t	0.7647058823529411
n	ṯ	0.75
n	u	0.975
n	ú	0.975
n	ü	0.9545454545454546
n	ű	0.9545454545454546
n	v	0.896551724137931
n	z	0.7837837837837838
n	ž	0.8461538461538461
ṉ	a	0.9722222222222222
ṉ	á	0.9722222222222222
ṉ	b	0.84375
ṉ	c	0.8333333333333334
ṉ	č	0.7575757575757576
ṉ	d	0.7297297297297297
ṉ	ḏ	0.5625
ṉ	e	0.9473684210526316
ṉ	é	0.9473684210526316
ṉ	f	0.9393939393939394
ṉ	g	0.8148148148148149
ṉ	h	0.9166666666666666
ṉ	i	0.95
ṉ	í	0.95
ṉ	j	0.7037037037037037
ṉ	k	0.8888888888888888
ṉ	l	0.8
ṉ	m	0.7307692307692308
ṉ	n	0.46153846153846156
ṉ	ṉ	0
ṉ	o	0.9761904761904762
ṉ	ó	0.9761904761904762
ṉ	ö	0.9545454545454546
ṉ	ő	0.9545454545454546
ṉ	p	0.9032258064516129
ṉ	r	0.8
ṉ	s	0.8947368421052632
ṉ	š	0.8648648648648649
ṉ	t	0.8333333333333334
ṉ	ṯ	0.8235294117647058
ṉ	u	0.975
ṉ	ú	0.975
ṉ	ü	0.9545454545454546
ṉ	ű	0.9545454545454546
ṉ	v	0.896551724137931
ṉ	z	0.8461538461538461
ṉ	ž	0.7837837837837838
o	a	0.6206896551724138
o	á	0.7878787878787878
o	b	0.9473684210526316
o	c	0.9772727272727273
o	č	0.9767441860465116
o	d	0.9795918367346939
o	ḏ	0.9791666666666666
o	e	0.8378378378378378
o	é	0.8974358974358975
o	f	0.8823529411764706
o	g	0.9393939393939394
o	h	0.9259259259259259
o	i	0.8461538461538461
o	í	0.9024390243902439
o	j	0.9444444444444444
o	k	0.935483870967742
o	l	0.9459459459459459
o	m	0.9411764705882353
o	n	0.9761904761904762
o	ṉ	0.9761904761904762
o	o	0
o	ó	0.5625
o	ö	0.6
o	ő	0.775
o	p	0.9428571428571428
o	r	0.9459459459459459
o	s	0.9534883720930233
o	š	0.9534883720930233
o	t	0.9772727272727273
o	ṯ	0.9761904761904762
o	u	0.48275862068965514
o	ú	0.7058823529411764
o	ü	0.7435897435897436
o	ű	0.8333333333333334
o	v	0.8709677419354839
o	z	0.9565217391304348
o	ž	0.9565217391304348
ó	a	0.7878787878787878
ó	á	0.6206896551724138
ó	b	0.9473684210526316
ó	c	0.9772727272727273
ó	č	0.9767441860465116
ó	d	0.9795918367346939
ó	ḏ	0.9791666666666666
ó	e	0.8974358974358975
ó	é	0.8378378378378378
ó	f	0.8823529411764706
ó	g	0.9393939393939394
ó	h	0.9259259259259259
ó	i	0.9024390243902439
ó	í	0.8461538461538461
ó	j	0.9444444444444444
ó	k	0.935483870967742
ó	l	0.9459459459459459
ó	m	0.9411764705882353
ó	n	0.9761904761904762
ó	ṉ	0.9761904761904762
ó	o	0.5625
ó	ó	0
ó	ö	0.775
ó	ő	0.6
ó	p	0.9428571428571428
ó	r	0.9459459459459459
ó	s	0.9534883720930233
ó	š	0.9534883720930233
ó	t	0.9772727272727273
ó	ṯ	0.9761904761904762
ó	u	0.7058823529411764
ó	ú	0.48275862068965514
ó	ü	0.8333333333333334
ó	ű	0.7435897435897436
ó	v	0.8709677419354839
ó	z	0.9565217391304348
ó	ž	0.9565217391304348
ö	a	0.8378378378378378
ö	á	0.8974358974358975
ö	b	0.9512195121951219
ö	c	0.9565217391304348
ö	č	0.9555555555555556
ö	d	0.9607843137254902
ö	ḏ	0.96
ö	e	0.6470588235294117
ö	é	0.7894736842105263
ö	f	0.8918918918918919
ö	g	0.972972972972973
ö	h	0.9333333333333333
ö	i	0.6666666666666667
ö	í	0.8
ö	j	0.8918918918918919
ö	k	0.9714285714285714
ö	l	0.8947368421052632
ö	m	0.9459459459459459
ö	n	0.9545454545454546
ö	ṉ	0.9545454545454546
ö	o	0.6
ö	ó	0.775
ö	ö	0
ö	ő	0.5555555555555556
ö	p	0.9473684210526316
ö	r	0.8947368421052632
ö	s	0.9090909090909091
ö	š	0.9090909090909091
ö	t	0.9565217391304348
ö	ṯ	0.9545454545454546
ö	u	0.7297297297297297
ö	ú	0.825
ö	ü	0.47058823529411764
ö	ű	0.7
ö	v	0.8823529411764706
ö	z	0.9148936170212766
ö	ž	0.9148936170212766
ő	a	0.8974358974358975
ő	á	0.8378378378378378
ő	b	0.9512195121951219
ő	c	0.9565217391304348
ő	č	0.9555555555555556
ő	d	0.9607843137254902
ő	ḏ	0.96
ő	e	0.7894736842105263
ő	é	0.6470588235294117
ő	f	0.8918918918918919
ő	g	0.972972972972973
ő	h	0.9333333333333333
ő	i	0.8
ő	í	0.6666666666666667
ő	j	0.8918918918918919
ő	k	0.9714285714285714
ő	l	0.8947368421052632
ő	m	0.9459459459459459
ő	n	0.9545454545454546
ő	ṉ	0.9545454545454546
ő	o	0.775
ő	ó	0.6
ő	ö	0.5555555555555556
ő	ő	0
ő	p	0.9473684210526316
ő	r	0.8947368421052632
ő	s	0.9090909090909091
ő	š	0.9090909090909091
ő	t	0.9565217391304348
ő	ṯ	0.9545454545454546
ő	u	0.825
ő	ú	0.7297297297297297
ő	ü	0.7
ő	ű	0.47058823529411764
ő	v	0.8823529411764706
ő	z	0.9148936170212766
ő	ž	0.9148936170212766
p	a	0.9666666666666667
p	á	0.9666666666666667
p	b	0.5238095238095238
p	c	0.7586206896551724
p	č	0.75
p	d	0.8611111111111112
p	ḏ	0.8571428571428572
p	e	0.9696969696969697
p	é	0.9696969696969697
p	f	0.6190476190476191
p	g	0.7619047619047619
