word1	word2	segment1	segment2	dist	phon_dist	length
mond	örvend	"[""-"", ""-"", ""m"", ""o"", ""n"", ""d""]"	"[""ö"", ""r"", ""v"", ""e"", ""n"", ""d""]"	[1.0, 1.0, 0.6842105263157895, 0.8378378378378378, 0.0, 0.0]	3.522048364153627	6
mond	kering	"[""m"", ""o"", ""-"", ""-"", ""n"", ""d""]"	"[""k"", ""e"", ""r"", ""i"", ""n"", ""g""]"	[0.85, 0.8378378378378378, 1.0, 1.0, 0.0, 0.7]	4.3878378378378375	6
mond	rajong	"[""-"", ""-"", ""m"", ""o"", ""n"", ""d""]"	"[""r"", ""a"", ""j"", ""o"", ""n"", ""g""]"	[1.0, 1.0, 0.88, 0.0, 0.0, 0.7]	3.58	6
mond	kösönt	"[""m"", ""-"", ""-"", ""o"", ""n"", ""d""]"	"[""k"", ""ö"", ""s"", ""ö"", ""n"", ""t""]"	[0.85, 1.0, 1.0, 0.6, 0.0, 0.5588235294117647]	4.008823529411765	6
mond	veršeng	"[""m"", ""-"", ""-"", ""-"", ""o"", ""n"", ""d""]"	"[""v"", ""e"", ""r"", ""š"", ""e"", ""n"", ""g""]"	[0.6842105263157895, 1.0, 1.0, 1.0, 0.8378378378378378, 0.0, 0.7]	5.222048364153627	7
mond	ért	"[""m"", ""o"", ""n"", ""d""]"	"[""-"", ""é"", ""r"", ""t""]"	[1.0, 0.8974358974358975, 0.7142857142857143, 0.5588235294117647]	3.1705451411333767	4
mond	tekint	"[""-"", ""-"", ""m"", ""o"", ""n"", ""d""]"	"[""t"", ""e"", ""k"", ""i"", ""n"", ""t""]"	[1.0, 1.0, 0.85, 0.8461538461538461, 0.0, 0.5588235294117647]	4.254977375565611	6
mond	tart	"[""m"", ""o"", ""n"", ""d""]"	"[""t"", ""a"", ""r"", ""t""]"	[0.90625, 0.6206896551724138, 0.7142857142857143, 0.5588235294117647]	2.8000488988698926	4
mond	čeng	"[""m"", ""o"", ""n"", ""d""]"	"[""č"", ""e"", ""n"", ""g""]"	[0.9032258064516129, 0.8378378378378378, 0.0, 0.7]	2.441063644289451	4
mond	hord	"[""m"", ""o"", ""n"", ""d""]"	"[""h"", ""o"", ""r"", ""d""]"	[0.8823529411764706, 0.0, 0.7142857142857143, 0.0]	1.596638655462185	4
mond	tolong	"[""-"", ""-"", ""m"", ""o"", ""n"", ""d""]"	"[""t"", ""o"", ""l"", ""o"", ""n"", ""g""]"	[1.0, 1.0, 0.8846153846153846, 0.0, 0.0, 0.7]	3.5846153846153843	6
mond	megért	"[""m"", ""o"", ""-"", ""-"", ""n"", ""d""]"	"[""m"", ""e"", ""g"", ""é"", ""r"", ""t""]"	[0.0, 0.8378378378378378, 1.0, 1.0, 0.7142857142857143, 0.5588235294117647]	4.110947081535317	6
mond	áld	"[""m"", ""o"", ""n"", ""d""]"	"[""-"", ""á"", ""l"", ""d""]"	[1.0, 0.7878787878787878, 0.7142857142857143, 0.0]	2.502164502164502	4
