word1	word2	segment1	segment2	dist	phon_dist	length
dűsöng	kering	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""e"", ""r"", ""i"", ""n"", ""g""]"	[0.84375, 0.85, 0.6428571428571428, 0.6666666666666667, 0.0, 0.0]	3.00327380952381	6
dűsöng	hord	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""h"", ""o"", ""r"", ""d""]"	[1.0, 1.0, 0.7272727272727273, 0.6, 0.7142857142857143, 0.7]	4.741558441558442	6
dűsöng	rajong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""r"", ""a"", ""j"", ""o"", ""n"", ""g""]"	[0.868421052631579, 0.925, 0.7241379310344828, 0.6, 0.0, 0.0]	3.1175589836660618	6
dűsöng	tölt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""-"", ""-"", ""ö"", ""l"", ""t""]"	[0.5588235294117647, 1.0, 1.0, 0.0, 0.7142857142857143, 0.8275862068965517]	4.1006954505940305	6
dűsöng	kösönt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""ö"", ""s"", ""ö"", ""n"", ""t""]"	[0.84375, 0.7, 0.0, 0.0, 0.0, 0.8275862068965517]	2.371336206896552	6
dűsöng	veršeng	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""v"", ""e"", ""r"", ""š"", ""e"", ""n"", ""g""]"	[0.9166666666666666, 0.85, 1.0, 0.4285714285714286, 0.6470588235294117, 0.0, 0.0]	3.842296918767507	7
dűsöng	kelt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""-"", ""-"", ""e"", ""l"", ""t""]"	[0.84375, 1.0, 1.0, 0.6470588235294117, 0.7142857142857143, 0.8275862068965517]	5.032680744711677	6
dűsöng	ellentmond	"[""-"", ""-"", ""d"", ""ű"", ""-"", ""s"", ""-"", ""ö"", ""n"", ""g""]"	"[""e"", ""l"", ""l"", ""e"", ""n"", ""t"", ""m"", ""o"", ""n"", ""d""]"	[1.0, 1.0, 0.868421052631579, 0.85, 1.0, 0.6666666666666667, 1.0, 0.6, 0.0, 0.7]	7.685087719298245	10
dűsöng	old	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""-"", ""o"", ""l"", ""d""]"	[1.0, 1.0, 1.0, 0.6, 0.7142857142857143, 0.7]	5.014285714285714	6
dűsöng	tekint	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""e"", ""k"", ""i"", ""n"", ""t""]"	[0.5588235294117647, 0.85, 0.8571428571428572, 0.6666666666666667, 0.0, 0.8275862068965517]	3.7602192601178404	6
